partner_id,monthly_earnings,trips_per_week,avg_rating,cancellation_rate,active_days_per_month,Nova_Score,earnings_m1,earnings_m2,earnings_m3,earnings_m4,earnings_m5,earnings_m6,trips_m1,trips_m2,trips_m3,trips_m4,trips_m5,trips_m6,earnings_trend_slope,earnings_trend_up,earnings_per_active_day,trips_per_active_day,estimated_cancellations_per_month,high_activity_flag,earnings_avg_3mo,earnings_avg_6mo,trips_avg_3mo,trips_avg_6mo,city_Bengaluru,city_Chennai,city_Delhi,city_Kolkata,city_Mumbai,vehicle_type_Auto,vehicle_type_Bike,vehicle_type_Car
P00028,33005.58,25,4.4,0.101,26,70.47,33146.52,36894.92,28273.96,35711.79,30553.16,34192.41,96,96,95,108,108,93,-181.65714285714031,0,1269.4453846153847,3.8461538461538463,10.100000000000001,1,32771.799999999996,33128.793333333335,95.66666666666667,99.33333333333333,False,True,False,False,False,False,True,False
P00029,25194.89,32,4.78,0.041,9,66.37,25893.4,26358.15,23069.71,23837.02,27685.63,22282.46,125,125,126,127,124,135,-380.1414285714283,0,2799.432222222222,14.222222222222221,5.248,0,25107.08666666667,24854.395000000004,125.33333333333333,127.0,False,False,True,False,False,False,True,False
P00030,27666.45,26,4.82,0.109,5,63.36,23902.02,29095.98,24408.49,24969.89,26675.81,26184.25,102,106,106,103,98,98,134.62971428571834,1,5533.29,20.8,11.336,0,25802.163333333334,25872.74,104.66666666666667,102.16666666666667,True,False,False,False,False,False,True,False
P00031,25186.35,25,4.18,0.062,22,59.78,25998.95,21448.74,27343.15,26181.01,24814.02,26311.18,93,105,102,91,104,91,299.8528571428563,1,1144.834090909091,4.545454545454546,6.2,0,24930.28,25349.50833333333,100.0,97.66666666666667,True,False,False,False,False,False,True,False
P00032,44818.23,40,4.77,0.041,9,84.81,40388.27,51337.56,39608.08,39311.69,49429.55,41782.33,149,150,160,164,161,149,27.13942857142792,0,4979.803333333333,17.77777777777778,6.5600000000000005,0,43777.969999999994,43642.91333333333,153.0,155.5,False,True,False,False,False,False,True,False
P00033,29892.02,33,4.64,0.099,29,74.33,25991.57,33280.27,31902.81,34118.93,26195.49,33302.51,123,139,128,131,140,137,500.4708571428582,1,1030.7593103448276,4.551724137931035,13.068000000000001,1,30391.55,30798.596666666665,130.0,133.0,True,False,False,False,False,False,False,True
P00034,21538.31,30,4.32,0.095,11,59.95,24438.78,24091.29,20799.49,22393.79,22149.68,22580.09,121,111,110,111,126,127,-386.399428571429,0,1958.028181818182,10.909090909090908,11.4,0,23109.853333333333,22742.186666666665,114.0,117.66666666666667,False,False,False,True,False,False,False,True
P00035,36580.36,38,4.36,0.221,18,65.7,41690.26,38327.93,31898.57,41912.63,37438.71,40643.84,157,167,137,144,166,144,60.408571428570994,0,2032.2422222222222,8.444444444444445,33.592,0,37305.58666666667,38651.99,153.66666666666666,152.5,False,True,False,False,False,False,True,False
P00036,20233.25,21,3.99,0.089,11,41.49,22105.21,19291.11,22131.51,19255.34,19779.3,19598.27,86,80,83,79,77,81,-398.4657142857125,0,1839.3863636363637,7.636363636363637,7.476,0,21175.943333333333,20360.123333333333,83.0,81.0,False,False,False,False,True,False,True,False
P00037,31670.91,24,5.0,0.155,21,60.52,29814.49,35411.07,32427.5,36147.96,34804.19,27243.18,105,102,90,89,88,90,-313.0494285714295,0,1508.1385714285714,4.571428571428571,14.879999999999999,0,32551.02,32641.39833333333,99.0,94.0,False,False,False,True,False,False,False,True
P00038,14322.64,24,4.9,0.052,17,63.71,12593.92,13426.83,13187.26,12799.69,16225.65,14649.8,89,90,104,95,104,95,522.5225714285725,1,842.5082352941176,5.647058823529412,4.992,0,13069.336666666668,13813.858333333335,94.33333333333333,96.16666666666667,False,False,True,False,False,False,True,False
P00039,19374.51,33,4.21,0.035,28,59.77,20445.34,19739.01,21668.54,16704.87,19173.03,18439.85,145,144,136,128,144,125,-476.8302857142871,0,691.9467857142856,4.714285714285714,4.62,1,20617.63,19361.77333333333,141.66666666666666,137.0,False,False,True,False,False,False,False,True
P00040,31574.89,28,4.84,0.009,8,61.24,31007.99,27783.35,27267.36,27151.1,31159.49,31084.11,111,119,114,109,110,123,296.93600000000157,1,3946.86125,14.0,1.008,0,28686.233333333334,29242.233333333326,114.66666666666667,114.33333333333333,False,True,False,False,False,False,False,True
P00041,35907.73,25,4.43,0.009,16,77.52,31836.21,40453.17,32695.64,35529.3,35929.96,37858.71,94,97,98,95,99,105,553.6151428571417,1,2244.233125,6.25,0.8999999999999999,0,34995.00666666667,35717.165,96.33333333333333,98.0,True,False,False,False,False,False,True,False
P00042,31370.95,23,4.87,0.004,22,71.94,31325.56,27990.14,33743.04,27446.48,33470.83,33259.46,100,91,89,91,90,94,566.1431428571428,1,1425.9522727272727,4.181818181818182,0.368,0,31019.579999999998,31205.91833333333,93.33333333333333,92.5,False,False,True,False,False,False,False,True
P00043,29074.81,29,4.45,0.027,27,65.11,25013.54,26675.24,30901.1,29180.94,30540.71,24953.95,115,104,109,117,122,121,273.66571428571564,1,1076.8448148148148,4.296296296296297,3.132,1,27529.960000000003,27877.58,109.33333333333333,114.66666666666667,False,False,True,False,False,False,True,False
P00044,27591.17,34,4.49,0.346,26,57.76,30979.26,28072.37,25846.9,26163.33,25296.98,29820.28,132,129,124,139,143,127,-394.41828571428454,0,1061.198846153846,5.230769230769231,47.056,1,28299.51,27696.52,128.33333333333334,132.33333333333334,False,False,True,False,False,False,True,False
P00045,18171.82,27,4.51,0.008,29,61.63,16856.8,19611.54,15784.18,17275.74,15794.38,18136.49,102,103,111,102,102,113,-101.75628571428427,0,626.6144827586206,3.7241379310344827,0.864,1,17417.506666666664,17243.188333333335,105.33333333333333,105.5,False,False,False,True,False,False,True,False
P00046,24241.25,34,4.4,0.038,16,60.39,25423.17,25109.22,26845.33,25227.45,27508.39,24653.58,130,135,144,142,133,132,49.47657142857085,0,1515.078125,8.5,5.168,0,25792.573333333334,25794.523333333334,136.33333333333334,136.0,True,False,False,False,False,True,False,False
P00047,26314.89,24,5.0,0.137,29,70.6,24828.45,24200.23,24844.13,23655.23,24428.66,24720.16,105,89,103,87,90,95,-29.85885714285615,0,907.41,3.310344827586207,13.152000000000001,1,24624.27,24446.14333333333,99.0,94.83333333333333,False,True,False,False,False,False,False,True
P00048,38456.98,29,4.87,0.081,8,77.73,38688.51,32699.31,34946.4,41532.23,40055.98,37543.63,111,116,121,122,105,125,655.184000000005,1,4807.1225,14.5,9.396,0,35444.74,37577.67666666667,116.0,116.66666666666667,False,False,True,False,False,False,True,False
P00049,32748.95,34,4.63,0.081,25,77.89,33207.86,35275.37,32906.75,33554.88,35975.75,34815.82,149,141,147,130,124,148,308.25914285714066,1,1309.958,5.44,11.016,0,33796.66,34289.405000000006,145.66666666666666,139.83333333333334,False,False,False,False,True,False,True,False
P00050,15895.68,23,4.91,0.24,20,51.95,14392.84,18209.49,17851.93,17874.43,14943.26,17215.25,89,90,101,90,86,97,123.88171428571492,1,794.784,4.6,22.08,0,16818.086666666666,16747.866666666665,93.33333333333333,92.16666666666667,True,False,False,False,False,False,True,False
P00051,32592.67,31,4.11,0.005,18,68.31,37184.18,35622.94,28129.56,31271.11,33916.91,31488.82,117,117,135,126,112,131,-870.0954285714292,0,1810.7038888888887,6.888888888888889,0.62,0,33645.56,32935.58666666666,123.0,123.0,True,False,False,False,False,False,False,True
P00052,26919.34,29,4.23,0.121,25,70.25,29141.26,26597.98,29065.92,30817.65,23752.82,28462.77,109,117,118,119,114,122,-290.7485714285712,0,1076.7736,4.64,14.036,0,28268.38666666667,27973.066666666666,114.66666666666667,116.5,False,False,False,False,True,False,False,True
P00053,24584.62,26,4.74,0.39,12,54.49,27826.09,27562.56,25119.14,25143.88,28050.55,22800.1,102,94,98,102,95,107,-675.4640000000003,0,2048.7183333333332,8.666666666666666,40.56,0,26835.930000000004,26083.72,98.0,99.66666666666667,False,False,True,False,False,False,True,False
P00054,34893.41,29,4.82,0.046,21,72.52,39026.47,33949.69,34113.01,39848.99,30268.2,38369.03,110,112,107,126,124,109,-245.59114285714168,0,1661.5909523809526,5.523809523809524,5.336,0,35696.39000000001,35929.23166666667,109.66666666666667,114.66666666666667,False,True,False,False,False,False,False,True
P00055,38248.0,36,4.68,0.032,26,89.93,39371.34,38534.1,41048.68,32821.3,37538.59,39508.05,150,145,158,154,150,147,-300.86742857142707,0,1471.076923076923,5.538461538461538,4.6080000000000005,1,39651.37333333333,38137.01,151.0,150.66666666666666,True,False,False,False,False,False,True,False
P00056,37450.24,33,4.04,0.205,9,63.35,42190.03,37193.29,42683.81,40011.57,37863.91,40541.98,125,128,127,125,139,120,-254.3037142857149,0,4161.137777777778,14.666666666666666,27.06,0,40689.043333333335,40080.76500000001,126.66666666666667,127.33333333333333,False,False,False,False,True,False,False,True
P00057,23286.26,31,4.28,0.007,6,61.53,20411.52,22920.37,21394.53,25498.14,25315.53,23126.67,132,120,112,126,127,112,710.4239999999987,1,3881.043333333333,20.666666666666668,0.868,0,21575.47333333333,23111.126666666667,121.33333333333333,121.5,False,False,False,True,False,False,True,False
P00058,27526.3,33,4.72,0.055,24,69.62,25015.76,29798.8,24583.58,23836.45,24397.62,25289.31,141,141,129,138,136,141,-445.22628571428453,0,1146.9291666666666,5.5,7.26,0,26466.046666666665,25486.92,137.0,137.66666666666666,False,True,False,False,False,True,False,False
P00059,32650.11,25,5.0,0.26,27,70.18,28195.6,32912.31,36694.3,33423.62,32070.32,31956.93,96,109,105,94,92,101,371.71428571428663,1,1209.2633333333333,3.7037037037037037,26.0,1,32600.736666666664,32542.179999999997,103.33333333333333,99.5,False,False,False,False,True,True,False,False
P00060,37804.36,30,4.97,0.095,6,70.99,35823.38,35725.69,39720.51,41228.78,35532.83,36460.25,126,128,129,108,109,108,117.54400000000248,1,6300.7266666666665,20.0,11.4,0,37089.86000000001,37415.24,127.66666666666667,118.0,False,False,True,False,False,False,False,True
P00061,26166.61,26,5.0,0.08,26,58.47,25292.73,24268.16,25679.8,26645.76,24690.9,24853.44,111,96,104,114,114,99,1.0779999999989378,0,1006.4080769230769,4.0,8.32,1,25080.23,25238.465,103.66666666666667,106.33333333333333,False,True,False,False,False,False,False,True
P00062,28514.73,27,4.7,0.026,25,71.85,26558.75,24560.43,29141.42,24783.41,30899.6,26052.54,110,103,104,118,105,112,346.52714285714467,1,1140.5892,4.32,2.808,0,26753.533333333336,26999.358333333337,105.66666666666667,108.66666666666667,False,False,False,False,True,False,False,True
P00063,21149.32,29,4.7,0.241,16,54.21,23235.09,21677.18,22707.69,22376.7,18011.57,22793.68,113,121,122,112,106,126,-386.7105714285731,0,1321.8325,7.25,27.956,0,22539.986666666668,21800.318333333333,118.66666666666667,116.66666666666667,True,False,False,False,False,False,True,False
P00064,20430.35,23,4.29,0.109,21,57.43,19552.38,18775.26,22103.79,17737.2,21957.01,17895.06,91,101,92,87,86,98,-88.79828571428496,0,972.8738095238094,4.380952380952381,10.028,0,20143.81,19670.116666666665,94.66666666666667,92.5,True,False,False,False,False,False,True,False
P00065,36500.21,23,4.89,0.07,21,69.77,34101.43,32647.25,41098.08,39976.51,39899.09,40744.03,97,87,84,86,99,91,1538.484285714286,1,1738.105238095238,4.380952380952381,6.44,0,35948.92,38077.73166666667,89.33333333333333,90.66666666666667,False,True,False,False,False,False,True,False
P00066,40849.92,40,4.58,0.09,12,75.77,41373.16,42735.1,39953.38,35249.81,45768.6,36867.36,153,173,172,166,151,153,-518.0591428571389,0,3404.16,13.333333333333334,14.399999999999999,0,41353.880000000005,40324.568333333336,166.0,161.33333333333334,True,False,False,False,False,False,False,True
P00067,29423.92,35,4.81,0.032,29,70.43,26254.29,31023.49,27600.32,26223.16,30543.93,33659.85,135,147,144,147,139,135,977.4845714285744,1,1014.6179310344827,4.827586206896552,4.48,1,28292.7,29217.506666666668,142.0,141.16666666666666,False,False,False,False,True,False,True,False
P00068,38028.26,28,4.61,0.064,11,69.78,41475.87,40904.96,39621.62,35462.58,36128.24,43600.94,104,123,102,110,116,117,-224.68142857142584,0,3457.114545454546,10.181818181818182,7.168,0,40667.48333333334,39532.36833333334,109.66666666666667,112.0,False,False,True,False,False,False,True,False
P00069,32893.09,27,4.68,0.013,29,66.91,28694.79,32928.39,32061.5,34209.12,32175.05,31890.38,106,99,97,102,118,115,453.3014285714279,1,1134.2444827586205,3.7241379310344827,1.404,1,31228.226666666666,31993.204999999998,100.66666666666667,106.16666666666667,False,False,True,False,False,False,True,False
P00070,24839.04,28,4.57,0.198,22,73.45,28467.18,27775.42,25543.96,28388.73,28339.38,28474.14,103,110,103,111,101,109,130.61285714285907,1,1129.0472727272727,5.090909090909091,22.176000000000002,0,27262.186666666665,27831.468333333334,105.33333333333333,106.16666666666667,False,False,True,False,False,True,False,False
P00071,32891.16,27,4.67,0.201,30,70.73,35577.49,37196.71,32101.63,29120.09,36652.46,36532.89,104,108,115,108,108,111,4.648857142857617,0,1096.372,3.6,21.708000000000002,1,34958.61,34530.21166666667,109.0,109.0,False,False,False,True,False,False,False,True
P00072,42304.29,39,4.9,0.03,30,94.74,38480.6,46205.22,37900.36,37769.79,41841.39,37004.79,152,161,155,157,171,164,-588.6031428571455,0,1410.143,5.2,4.68,1,40862.060000000005,39867.025,156.0,160.0,False,False,False,True,False,False,True,False
P00073,29713.39,24,4.22,0.031,12,60.42,25305.61,30922.07,29440.86,28544.5,33662.86,33700.88,91,99,93,95,89,103,1408.6388571428581,1,2476.1158333333333,8.0,2.976,0,28556.180000000004,30262.796666666673,94.33333333333333,95.0,False,False,False,False,True,False,False,True
P00074,42517.15,37,4.15,0.045,19,77.65,46540.91,40013.58,44952.33,46805.67,46636.49,36681.85,136,160,141,133,137,152,-787.8065714285746,0,2237.7447368421053,7.7894736842105265,6.66,0,43835.60666666667,43605.13833333333,145.66666666666666,143.16666666666666,False,False,True,False,False,False,True,False
P00075,9042.04,29,4.73,0.059,18,46.31,9603.16,10352.08,9853.88,8953.15,10130.04,8179.2,117,124,116,115,106,124,-248.19000000000028,0,502.33555555555563,6.444444444444445,6.843999999999999,0,9936.373333333331,9511.918333333333,119.0,117.0,False,False,False,False,True,False,False,True
P00076,36575.22,29,5.0,0.006,20,79.83,39088.02,34096.91,36501.99,34617.83,38582.95,37503.45,124,106,106,112,116,111,104.31742857142612,1,1828.761,5.8,0.6960000000000001,0,36562.306666666664,36731.85833333334,112.0,112.5,False,False,True,False,False,False,False,True
P00077,30696.38,41,5.0,0.063,10,66.23,33194.49,27958.17,27613.58,31260.0,33989.99,26835.42,159,164,168,166,159,171,-287.24200000000144,0,3069.638,16.4,10.332,0,29588.746666666662,30141.941666666662,163.66666666666666,164.5,True,False,False,False,False,False,True,False
P00078,27607.94,21,4.23,0.03,27,59.71,24080.02,27128.84,26901.35,25624.5,30852.7,24806.24,80,82,82,77,88,82,386.4522857142892,1,1022.5162962962962,3.111111111111111,2.52,1,26036.736666666664,26565.608333333334,81.33333333333333,81.83333333333333,False,False,True,False,False,False,False,True
P00079,30734.09,25,4.48,0.102,27,69.02,29429.11,26648.06,33373.79,29822.76,26972.39,34915.39,96,110,107,108,101,109,710.096000000001,1,1138.2996296296296,3.7037037037037037,10.2,1,29816.986666666664,30193.583333333332,104.33333333333333,105.16666666666667,False,False,False,False,True,False,False,True
P00080,14099.45,37,4.16,0.002,19,56.55,12474.64,16123.4,13730.86,13391.4,16067.24,16191.9,159,146,156,159,150,140,516.524571428571,1,742.0763157894737,7.7894736842105265,0.296,0,14109.633333333333,14663.24,153.66666666666666,151.66666666666666,False,False,False,True,False,False,False,True
P00081,28242.62,27,4.43,0.032,26,64.02,31319.12,28991.9,29907.78,30819.54,26832.86,30768.67,109,112,98,109,108,114,-237.6459999999985,0,1086.2546153846154,4.153846153846154,3.456,1,30072.933333333334,29773.311666666665,106.33333333333333,108.33333333333333,True,False,False,False,False,True,False,False
P00082,32856.9,35,4.94,0.035,8,71.94,34072.26,33418.28,32928.01,37038.82,32264.49,33006.82,130,134,131,147,154,152,-133.65028571428527,0,4107.1125,17.5,4.9,0,33472.850000000006,33788.113333333335,131.66666666666666,141.33333333333334,False,False,True,False,False,False,False,True
P00083,41823.15,29,4.6,0.015,7,62.95,39701.44,43777.92,38576.29,45079.99,45485.65,46845.7,121,119,115,115,117,120,1352.8054285714318,1,5974.7357142857145,16.571428571428573,1.74,0,40685.21666666667,43244.49833333333,118.33333333333333,117.83333333333333,False,False,True,False,False,False,True,False
P00084,25853.84,30,4.49,0.022,17,60.93,22468.73,25830.75,28150.83,25381.36,27132.8,22843.67,112,113,124,122,110,127,86.03942857142897,0,1520.8141176470588,7.0588235294117645,2.6399999999999997,0,25483.436666666665,25301.35666666667,116.33333333333333,118.0,True,False,False,False,False,False,True,False
P00085,23532.05,30,4.76,0.006,16,56.1,22197.66,20228.6,20596.76,23562.65,26306.9,26658.7,109,122,125,123,116,129,1243.028285714288,1,1470.753125,7.5,0.72,0,21007.67333333333,23258.545,118.66666666666667,120.66666666666667,False,False,True,False,False,False,True,False
P00086,25985.94,27,4.36,0.195,13,58.58,24623.11,26861.49,26179.98,23063.1,25210.83,24828.68,103,116,115,105,114,104,-201.17171428571407,0,1998.9184615384615,8.307692307692308,21.060000000000002,0,25888.193333333333,25127.865,111.33333333333333,109.5,False,False,True,False,False,True,False,False
P00087,37323.22,31,5.0,0.147,9,78.63,39894.11,39743.71,34063.68,40087.36,35904.43,41370.8,116,112,113,135,127,115,53.97971428571336,0,4147.024444444444,13.777777777777779,18.227999999999998,0,37900.5,38510.681666666664,113.66666666666667,119.66666666666667,True,False,False,False,False,False,True,False
P00088,32630.01,28,4.6,0.188,16,57.05,33976.56,31815.07,28392.01,33574.41,28045.71,34278.22,114,112,101,114,116,122,-131.92514285714157,0,2039.375625,7.0,21.056,0,31394.546666666665,31680.33,109.0,113.16666666666667,False,False,False,True,False,True,False,False
P00089,25761.92,43,4.48,0.037,5,66.18,28754.52,27750.45,25784.6,28872.21,25473.84,29319.18,171,189,175,189,187,156,-26.25485714285339,0,5152.384,34.4,6.364,0,27429.85666666667,27659.13333333333,178.33333333333334,177.83333333333334,True,False,False,False,False,False,False,True
P00090,34106.14,32,4.78,0.144,5,65.1,33821.85,31312.86,34101.66,31042.84,36398.8,37837.47,134,119,134,126,127,128,922.2028571428581,1,6821.228,25.6,18.432,0,33078.79,34085.91333333334,129.0,128.0,True,False,False,False,False,False,False,True
P00091,30776.62,31,4.88,0.178,28,68.68,27264.34,28203.17,32686.93,33174.67,28940.91,34358.08,124,116,131,112,112,120,1090.5617142857168,1,1099.165,4.428571428571429,22.072,1,29384.813333333335,30771.349999999995,123.66666666666667,119.16666666666667,False,False,False,True,False,True,False,False
P00092,37749.16,34,5.0,0.173,25,82.1,40164.1,33914.79,40520.9,39840.52,37327.05,39241.24,134,135,127,131,149,137,141.20285714286206,1,1509.9664000000002,5.44,23.528,0,38199.93,38501.43333333333,132.0,135.5,False,False,False,False,True,False,False,True
P00093,24383.58,31,4.54,0.008,25,56.09,26291.24,23447.21,26049.89,22670.72,22330.95,26820.66,125,133,136,128,123,136,-116.59571428571293,0,975.3432,4.96,0.992,0,25262.78,24601.778333333332,131.33333333333334,130.16666666666666,False,False,True,False,False,False,False,True
P00094,27378.7,22,4.93,0.135,6,54.8,27882.01,30228.92,26635.85,28753.48,29619.27,29490.67,87,89,83,95,81,80,238.0565714285718,1,4563.116666666667,14.666666666666666,11.88,0,28248.926666666666,28768.36666666667,86.33333333333333,85.83333333333333,True,False,False,False,False,False,True,False
